14:23:30 0, 0 MiB 1, 0 MiB 
14:23:40 0, 0 MiB 1, 0 MiB 
14:23:50 0, 423 MiB 1, 0 MiB 
14:24:00 0, 423 MiB 1, 0 MiB 
14:24:11 0, 423 MiB 1, 0 MiB 
14:24:21 0, 423 MiB 1, 0 MiB 
14:24:31 0, 423 MiB 1, 0 MiB 
14:24:41 0, 423 MiB 1, 0 MiB 
14:24:51 0, 423 MiB 1, 0 MiB 
14:25:01 0, 423 MiB 1, 0 MiB 
14:25:11 0, 423 MiB 1, 0 MiB 
14:25:22 0, 7927 MiB 1, 0 MiB 
14:25:33 0, 8563 MiB 1, 0 MiB 
14:25:43 0, 9445 MiB 1, 0 MiB 
14:25:53 0, 9445 MiB 1, 0 MiB 
14:26:03 0, 11165 MiB 1, 0 MiB 
14:26:13 0, 7693 MiB 1, 0 MiB 
14:26:23 0, 7717 MiB 1, 0 MiB 
14:26:34 0, 7871 MiB 1, 0 MiB 
14:26:44 0, 7871 MiB 1, 0 MiB 
14:26:54 0, 7931 MiB 1, 0 MiB 
14:27:04 0, 7929 MiB 1, 0 MiB 
14:27:14 0, 7929 MiB 1, 0 MiB 
14:27:24 0, 7971 MiB 1, 0 MiB 
14:27:34 0, 8113 MiB 1, 0 MiB 
14:27:45 0, 8113 MiB 1, 0 MiB 
14:27:55 0, 8113 MiB 1, 0 MiB 
14:28:05 0, 8135 MiB 1, 0 MiB 
14:28:15 0, 8465 MiB 1, 0 MiB 
14:28:25 0, 9063 MiB 1, 0 MiB 
14:28:35 0, 0 MiB 1, 0 MiB 
14:28:45 0, 0 MiB 1, 0 MiB 
14:28:56 0, 0 MiB 1, 0 MiB 
14:29:06 0, 0 MiB 1, 0 MiB 
14:29:16 0, 4 MiB 1, 0 MiB 
14:29:26 0, 435 MiB 1, 0 MiB 
14:29:36 0, 435 MiB 1, 0 MiB 
14:29:46 0, 435 MiB 1, 0 MiB 
14:29:56 0, 435 MiB 1, 0 MiB 
14:30:06 0, 435 MiB 1, 0 MiB 
14:30:17 0, 435 MiB 1, 0 MiB 
14:30:27 0, 435 MiB 1, 0 MiB 
14:30:37 0, 435 MiB 1, 0 MiB 
14:30:47 0, 7685 MiB 1, 0 MiB 
14:30:57 0, 0 MiB 1, 0 MiB 
14:31:07 0, 0 MiB 1, 0 MiB 
14:31:17 0, 0 MiB 1, 0 MiB 
14:31:28 0, 0 MiB 1, 0 MiB 
14:31:38 0, 0 MiB 1, 0 MiB 
14:31:48 0, 0 MiB 1, 0 MiB 
14:31:58 0, 0 MiB 1, 0 MiB 
14:32:08 0, 4 MiB 1, 0 MiB 
14:32:18 0, 4 MiB 1, 0 MiB 
14:32:28 0, 435 MiB 1, 0 MiB 
14:32:39 0, 435 MiB 1, 0 MiB 
14:32:49 0, 435 MiB 1, 0 MiB 
14:32:59 0, 435 MiB 1, 0 MiB 
14:33:09 0, 435 MiB 1, 0 MiB 
14:33:19 0, 435 MiB 1, 0 MiB 
14:33:29 0, 435 MiB 1, 0 MiB 
14:33:39 0, 435 MiB 1, 0 MiB 
14:33:49 0, 7685 MiB 1, 0 MiB 
14:34:00 0, 0 MiB 1, 0 MiB 
14:34:10 0, 0 MiB 1, 0 MiB 
14:34:20 0, 423 MiB 1, 4 MiB 
14:34:30 0, 423 MiB 1, 4 MiB 
14:34:40 0, 423 MiB 1, 4 MiB 
14:34:50 0, 423 MiB 1, 4 MiB 
14:35:00 0, 423 MiB 1, 4 MiB 
14:35:11 0, 423 MiB 1, 4 MiB 
14:35:21 0, 423 MiB 1, 4 MiB 
14:35:31 0, 423 MiB 1, 4 MiB 
14:35:41 0, 423 MiB 1, 4 MiB 
14:35:51 0, 423 MiB 1, 4 MiB 
14:36:01 0, 423 MiB 1, 4 MiB 
14:36:11 0, 7697 MiB 1, 4 MiB 
14:36:22 0, 7697 MiB 1, 4 MiB 
14:36:32 0, 7871 MiB 1, 4 MiB 
14:36:42 0, 7871 MiB 1, 4 MiB 
14:36:52 0, 7931 MiB 1, 4 MiB 
14:37:02 0, 0 MiB 1, 0 MiB 
14:37:12 0, 0 MiB 1, 0 MiB 
14:37:22 0, 0 MiB 1, 0 MiB 
14:37:33 0, 4 MiB 1, 4 MiB 
14:37:43 0, 583 MiB 1, 4 MiB 
14:37:53 0, 4 MiB 1, 4 MiB 
14:38:03 0, 4 MiB 1, 4 MiB 
14:38:13 0, 0 MiB 1, 0 MiB 
14:38:23 0, 459 MiB 1, 4 MiB 
14:38:33 0, 0 MiB 1, 0 MiB 
14:38:44 0, 4 MiB 1, 4 MiB 
14:38:54 0, 4 MiB 1, 4 MiB 
14:39:04 0, 555 MiB 1, 4 MiB 
14:39:14 0, 4 MiB 1, 4 MiB 
14:39:24 0, 4 MiB 1, 4 MiB 
14:39:34 0, 571 MiB 1, 4 MiB 
14:39:45 0, 0 MiB 1, 0 MiB 
14:39:55 0, 475 MiB 1, 4 MiB 
14:40:05 0, 4 MiB 1, 4 MiB 
14:40:15 0, 475 MiB 1, 4 MiB 
14:40:25 0, 0 MiB 1, 0 MiB 
14:40:35 0, 0 MiB 1, 0 MiB 
14:40:45 0, 4 MiB 1, 0 MiB 
14:40:56 0, 4 MiB 1, 0 MiB 
14:41:06 0, 435 MiB 1, 0 MiB 
14:41:16 0, 435 MiB 1, 0 MiB 
14:41:26 0, 435 MiB 1, 0 MiB 
14:41:36 0, 435 MiB 1, 0 MiB 
14:41:46 0, 435 MiB 1, 0 MiB 
14:41:56 0, 435 MiB 1, 0 MiB 
14:42:07 0, 435 MiB 1, 0 MiB 
14:42:17 0, 435 MiB 1, 0 MiB 
14:42:27 0, 435 MiB 1, 0 MiB 
14:42:37 0, 435 MiB 1, 0 MiB 
14:42:47 0, 7709 MiB 1, 0 MiB 
14:42:57 0, 7709 MiB 1, 0 MiB 
14:43:07 0, 7883 MiB 1, 0 MiB 
14:43:18 0, 7943 MiB 1, 0 MiB 
14:43:28 0, 7943 MiB 1, 0 MiB 
14:43:38 0, 0 MiB 1, 0 MiB 
14:43:48 0, 4 MiB 1, 0 MiB 
14:43:58 0, 435 MiB 1, 0 MiB 
14:44:08 0, 435 MiB 1, 0 MiB 
14:44:18 0, 435 MiB 1, 0 MiB 
14:44:29 0, 435 MiB 1, 0 MiB 
14:44:39 0, 435 MiB 1, 0 MiB 
14:44:49 0, 435 MiB 1, 0 MiB 
14:44:59 0, 435 MiB 1, 0 MiB 
14:45:09 0, 435 MiB 1, 0 MiB 
14:45:19 0, 435 MiB 1, 0 MiB 
14:45:29 0, 435 MiB 1, 0 MiB 
14:45:40 0, 7709 MiB 1, 0 MiB 
14:45:50 0, 7709 MiB 1, 0 MiB 
14:46:00 0, 7883 MiB 1, 0 MiB 
14:46:10 0, 7933 MiB 1, 0 MiB 
14:46:20 0, 7943 MiB 1, 0 MiB 
14:46:30 0, 7943 MiB 1, 0 MiB 
14:46:40 0, 4 MiB 1, 0 MiB 
14:46:51 0, 4 MiB 1, 0 MiB 
14:47:01 0, 435 MiB 1, 0 MiB 
14:47:11 0, 435 MiB 1, 0 MiB 
14:47:21 0, 435 MiB 1, 0 MiB 
14:47:31 0, 435 MiB 1, 0 MiB 
14:47:41 0, 435 MiB 1, 0 MiB 
14:47:51 0, 435 MiB 1, 0 MiB 
