Time (%),Total Time (ns),Instances,Avg (ns),Med (ns),Min (ns),Max (ns),StdDev (ns),Name
19.1,1126369905,4080,276071.1,275713.0,271233,293345,2265.7,ampere_bf16_s16816gemm_bf16_128x256_ldg8_f2f_stages_64x3_tn
10.0,587203817,2040,287845.0,287553.0,283137,303712,2125.9,ampere_bf16_s16816gemm_bf16_256x128_ldg8_f2f_stages_64x3_tn
6.3,372269780,19440,19149.7,19504.0,17408,21824,1215.6,ampere_bf16_s16816gemm_bf16_128x128_ldg8_f2f_stages_64x3_tn
5.6,327845954,1200,273205.0,272928.0,269152,280224,1700.1,triton_per_fused_addmm_10
5.3,314885350,45240,6960.3,4768.0,4480,56800,10051.8,triton_tem_fused_mm_12
4.8,284474532,29160,9755.6,9728.0,9280,11392,161.6,triton_tem_fused_addmm_2
3.7,219301033,21600,10152.8,10112.0,9760,10912,207.1,triton_tem_fused_clone_mm_21
3.7,218865291,21600,10132.7,10112.0,9632,11008,179.7,void cutlass::Kernel2<cutlass_80_tensorop_s16816gemm_bf16_64x64_64x6_tn_align8>(T1::Params)
3.4,202537000,21600,9376.7,9376.0,8864,10144,161.2,triton_tem_fused_gelu_mm_mul_24
3.0,176033311,21600,8149.7,8128.0,7680,8832,147.1,triton_tem_fused_mm_23
2.4,141167483,9720,14523.4,14496.0,13888,15808,207.8,triton_tem_fused_addmm_clone_4
2.3,135492730,21600,6272.8,6240.0,6048,6687,139.3,triton_tem_fused_bmm_20
2.2,129117179,21600,5977.6,5984.0,5440,6752,171.2,triton_tem_fused_mm_14
2.0,118603135,2040,58138.8,58016.0,56896,62112,547.9,triton_tem_fused_clone_mm_22
1.9,112739401,9720,11598.7,11553.0,11168,13728,179.9,"void pytorch_flash::flash_fwd_splitkv_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)0, (bool)1, (bool)0>(pytorch_flash::Flash_fwd_params)"
1.8,109007423,2040,53435.0,53376.0,52480,55744,402.1,triton_poi_fused_gelu_mul_24
1.6,92826310,21600,4297.5,4288.0,4096,4704,101.6,triton_tem_fused_bmm_17
1.5,88203742,21600,4083.5,4064.0,3808,4544,116.6,triton_poi_fused_cat_16
1.3,75057757,2040,36793.0,36736.0,35744,39776,381.1,triton_tem_fused_bmm_21
1.1,66397241,29160,2277.0,2240.0,2080,3392,103.0,triton_poi_fused__scaled_dot_product_flash_attention_clone_3
1.1,66344728,21600,3071.5,3040.0,2944,3424,82.1,triton_per_fused__softmax__to_copy_add_mul_scalar_tensor_where_18
1.1,63267048,21600,2929.0,2944.0,2592,3360,123.6,triton_poi_fused_add_cat_mul_15
1.0,60121030,2040,29471.1,29440.0,28512,31584,294.7,triton_per_fused__softmax__to_copy_add_mul_scalar_tensor_where_20
1.0,59078332,2040,28960.0,28928.0,28320,31168,297.1,triton_tem_fused_bmm_18
1.0,58722781,20400,2878.6,2880.0,2624,3296,101.6,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_26
1.0,56798938,9720,5843.5,5856.0,5152,7488,145.3,"void pytorch_flash::flash_fwd_splitkv_combine_kernel<Flash_fwd_kernel_traits<(int)96, (int)64, (int)128, (int)4, (bool)0, (bool)0, cutlass::bfloat16_t, Flash_kernel_traits<(int)96, (int)64, (int)128, (int)4, cutlass::bfloat16_t>>, (int)16, (int)1, (bool)0>(pytorch_flash::Flash_fwd_params)"
0.9,55646270,20400,2727.8,2720.0,2464,3328,103.6,triton_per_fused__to_copy_add_mean_mul_pow_rsqrt_25
0.9,55419737,21600,2565.7,2560.0,2432,2783,62.6,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, float, __nv_bfloat16, float, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.9,55374765,9720,5697.0,5792.0,5056,6912,239.5,triton_poi_fused_gelu_6
0.9,55269455,4320,12793.9,12640.0,11776,14240,549.5,ampere_bf16_s16816gemm_bf16_64x64_sliced1x2_ldg8_f2f_stages_64x6_tn
0.9,53150152,21600,2460.7,2464.0,2304,2848,68.8,triton_poi_fused_cat_19
0.8,48043106,9720,4942.7,4928.0,4704,6080,72.1,"void cublasLt::splitKreduce_kernel<(int)32, (int)16, int, __nv_bfloat16, __nv_bfloat16, float, (bool)0, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (bool)1, (bool)0, (bool)0>(cublasLt::cublasSplitKParams<T6>, const T4 *, const T9 *, T8 *, T5 *, const T6 *, const T6 *, const T10 *, const T4 *, T10 *, void *, long, T6 *, int *, T6 *, const T6 *, const T6 *, const T6 *, const T6 *)"
0.8,45878542,9360,4901.6,4896.0,4576,5760,160.4,triton_red_fused_add_native_layer_norm_8
0.7,42667206,9360,4558.5,4544.0,4352,5215,103.2,triton_red_fused_add_native_layer_norm_7
0.6,34998688,21600,1620.3,1600.0,1536,1760,43.6,triton_poi_fused_cat_13
0.5,30323969,2040,14864.7,14848.0,14528,15840,142.8,triton_poi_fused_add_cat_mul_17
0.3,19488853,360,54135.7,45824.0,44832,75393,12235.2,sm80_xmma_fprop_implicit_gemm_indexed_wo_smem_tf32f32_tf32f32_f32_nhwckrsc_nhwc_tilesize128x32x16_stage1_warpsize4x1x1_g1_tensor16x8x8_aligna4_execute_kernel__5x_cudnn
0.2,13393816,960,13951.9,13952.0,13408,14944,192.3,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_27
0.2,13136751,960,13684.1,13696.0,13024,14432,203.9,triton_red_fused__to_copy_add_mean_mul_pow_rsqrt_26
0.2,11281637,2160,5223.0,5216.0,4928,5728,99.0,triton_poi_fused_add_cat_mul_16
